,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,Sobolevo,54.4299,31.8996,276.08,78,82,4.81,RU,1636774994
276,Morondava,-20.2833,44.2833,300.15,77,88,2.79,MG,1636774994
277,Nhulunbuy,-12.2333,136.7667,300.49,89,75,6.69,AU,1636774995
278,Mount Gambier,-37.8333,140.7667,287.1,51,40,8.75,AU,1636774995
279,Orocué,4.7912,-71.3354,298.26,65,37,1.77,CO,1636774996
280,Rakitovo,41.9833,24.0833,268.83,62,91,0.99,BG,1636774996
281,Gorontalo,0.5412,123.0595,304.06,68,90,1.18,ID,1636774996
282,Jalu,29.0331,21.5482,289.19,59,0,3.08,LY,1636774997
283,The Pas,53.8251,-101.2541,269.16,93,90,2.57,CA,1636774997
284,Arrondissement d'Ajaccio,42.0,8.9167,285.24,82,0,2.57,FR,1636774998
285,Nhamundá,-2.1861,-56.7131,298.8,75,83,0.91,BR,1636774998
286,Amahai,-3.3333,128.9167,302.47,74,97,1.6,ID,1636774998
287,Oranjestad,12.524,-70.027,300.12,83,20,6.69,AW,1636774999
288,Río Gallegos,-51.6226,-69.2181,282.18,61,0,1.54,AR,1636774999
289,Roebourne,-20.7833,117.1333,304.04,19,53,6.18,AU,1636774999
290,Santa Cruz de Tenerife,28.4682,-16.2546,294.06,77,75,1.34,ES,1636775000
291,Goulburn,-34.75,149.7167,282.32,93,100,6.86,AU,1636775000
292,Taltal,-25.4,-70.4833,289.44,79,1,0.49,CL,1636775001
293,Samarai,-10.6167,150.6667,302.61,72,93,4.59,PG,1636775001
294,Port Moresby,-9.4431,147.1797,305.83,62,40,7.72,PG,1636775002
295,North Bend,43.4065,-124.2243,289.79,97,90,2.57,US,1636775002
296,Pilar,-9.5972,-35.9567,298.11,91,64,2.21,BR,1636775002
297,Amnat Charoen,15.9167,104.75,301.7,64,100,9.0,TH,1636775003
298,Gizo Government Station,-8.103,156.8419,302.35,70,38,1.57,SB,1636775003
299,Malinyi,-8.9333,36.1333,297.06,78,71,1.46,TZ,1636775004
300,Touros,-5.1989,-35.4608,299.65,82,72,5.11,BR,1636775004
301,Awjilah,29.1081,21.2869,289.38,58,0,2.85,LY,1636775004
302,Angol,-37.8,-72.7167,283.24,87,52,0.8,CL,1636775005
303,Dunedin,-45.8742,170.5036,285.82,66,100,1.34,NZ,1636774749
304,Kysyl-Syr,63.8986,122.7617,254.78,86,100,2.45,RU,1636775005
305,Porbandar,21.6422,69.6093,295.14,53,9,2.06,IN,1636775006
306,Chapais,49.7834,-74.8492,274.03,97,56,1.93,CA,1636775006
307,Huejuquilla el Alto,22.6,-103.8667,287.8,54,80,1.55,MX,1636775007
308,Jeremoabo,-10.075,-38.4808,294.51,96,39,2.61,BR,1636775007
309,Carnarvon,-24.8667,113.6333,298.19,53,6,8.23,AU,1636775007
310,Ixtapa,20.7,-105.2,298.72,83,1,0.0,MX,1636775008
311,Lisala,2.15,21.5167,293.25,98,100,0.39,CD,1636775008
312,Samoylovka,51.184,43.7081,275.7,79,77,7.16,RU,1636775009
313,Ōdachō-ōda,35.1833,132.5,283.58,55,78,7.07,JP,1636775009
314,Marang,5.2056,103.2059,302.1,74,91,2.13,MY,1636775010
315,Codrington,-38.2667,141.9667,286.62,52,100,6.86,AU,1636775010
316,Abu Samrah,35.3029,37.1841,285.64,38,38,3.31,SY,1636775010
317,Kamsack,51.5667,-101.9009,265.4,97,92,3.05,CA,1636775011
318,Tukan,53.8409,57.4552,267.6,93,100,3.23,RU,1636775011
319,San Miguel de Cozumel,20.5083,-86.9458,297.14,95,90,2.06,MX,1636774759
320,Wodonga,-36.1167,146.8833,289.29,84,40,3.58,AU,1636775012
321,Kenai,60.5544,-151.2583,267.09,92,90,1.54,US,1636775012
322,Badulla,6.9895,81.0557,300.05,56,21,1.06,LK,1636775013
323,Rivera,-30.9053,-55.5508,286.08,85,0,4.35,UY,1636775013
324,Necochea,-38.5473,-58.7368,287.51,80,18,7.2,AR,1636775014
325,Caravelas,-17.7125,-39.2481,293.98,91,100,7.37,BR,1636775014
326,Palana,59.1167,159.9667,271.97,83,87,3.07,RU,1636775014
327,Maniitsoq,65.4167,-52.9,264.63,57,0,4.69,GL,1636775015
328,Rio de Janeiro,-22.9028,-43.2075,293.1,88,40,2.06,BR,1636775015
329,Nome,64.5011,-165.4064,259.19,78,1,0.0,US,1636775016
330,Nouadhibou,20.931,-17.0347,293.14,73,0,2.06,MR,1636775016
331,Praia,14.9215,-23.5087,296.45,78,20,4.63,CV,1636775017
332,Rawson,-43.3002,-65.1023,287.24,91,100,3.07,AR,1636774858
333,Coyhaique,-45.5752,-72.0662,284.12,93,75,2.06,CL,1636774790
334,Mīzan Teferī,6.9833,35.5833,290.01,78,82,1.4,ET,1636775017
335,Tepetzintla,21.1667,-97.8333,292.24,86,15,0.86,MX,1636775018
336,Mar del Plata,-38.0023,-57.5575,289.75,87,4,14.31,AR,1636774944
337,Yulara,-25.2406,130.9889,295.06,24,0,3.09,AU,1636775018
338,Umluj,25.0213,37.2685,295.99,87,100,6.04,SA,1636775019
339,Bahār,34.9072,48.4414,275.24,100,90,1.03,IR,1636775019
340,Vila Velha,-20.3297,-40.2925,292.12,88,75,2.24,BR,1636775019
341,Mudanjiang,44.5833,129.6,276.57,59,7,3.74,CN,1636775020
342,Opuwo,-18.0607,13.84,294.51,57,49,1.29,NA,1636775020
343,Buala,-8.145,159.5921,302.74,70,79,1.77,SB,1636775021
344,Corinth,37.9407,22.9573,285.2,82,92,0.11,GR,1636775021
345,Ocós,14.5094,-92.1933,300.55,73,0,1.16,GT,1636775021
346,Balsas,-7.5325,-46.0356,297.61,76,82,0.23,BR,1636775022
347,Isangel,-19.55,169.2667,303.21,70,75,0.0,VU,1636775022
348,Egvekinot,66.3167,-179.1667,255.72,95,58,1.84,RU,1636775022
349,San Policarpo,12.1791,125.5072,301.4,84,79,4.6,PH,1636775023
350,Bathsheba,13.2167,-59.5167,299.49,78,75,8.23,BB,1636775023
351,Clearwater,27.9659,-82.8001,294.21,92,1,1.34,US,1636774774
352,Tigil',57.8,158.6667,273.69,87,86,3.23,RU,1636775024
353,Camabatela,-8.1881,15.375,289.2,99,100,0.75,AO,1636775024
354,Tiarei,-17.5333,-149.3333,300.93,65,13,4.96,PF,1636775024
